star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.161	0.003	-10.072	0.017	-11.467	0.007	2459522.591	3.089	1.694	-1.395	59522.59056	0.01838477631	0.0172626765	0.007615773106	0.9960427586
-13.275	0.003	-10.194	0.015	-11.588	0.006	2459522.591	3.081	1.687	-1.394	59522.59075	0.01615549442	0.01529705854	0.006708203932	0.9966262884
-13.21	0.003	-10.077	0.017	-11.544	0.007	2459522.591	3.133	1.666	-1.467	59522.59094	0.01838477631	0.0172626765	0.007615773106	0.9972126538
-13.254	0.003	-10.126	0.016	-11.578	0.006	2459522.591	3.128	1.676	-1.452	59522.59112	0.01708800749	0.0162788206	0.006708203932	0.9977950918
-13.128	0.003	-9.989	0.017	-11.449	0.007	2459522.591	3.139	1.679	-1.46	59522.59131	0.01838477631	0.0172626765	0.007615773106	0.9983793388
-13.159	0.003	-10.051	0.017	-11.469	0.007	2459522.591	3.108	1.69	-1.418	59522.5915	0.01838477631	0.0172626765	0.007615773106	0.9989653616
-13.158	0.003	-10.05	0.017	-11.486	0.007	2459522.592	3.108	1.672	-1.436	59522.59169	0.01838477631	0.0172626765	0.007615773106	0.9995495462
-13.229	0.003	-10.108	0.016	-11.544	0.006	2459522.592	3.121	1.685	-1.436	59522.59187	0.01708800749	0.0162788206	0.006708203932	0.0001287405308
-13.179	0.003	-10.066	0.016	-11.519	0.006	2459522.592	3.113	1.66	-1.453	59522.59206	0.01708800749	0.0162788206	0.006708203932	0.0007165738237
-13.167	0.003	-10.056	0.017	-11.49	0.007	2459522.592	3.111	1.677	-1.434	59522.59225	0.01838477631	0.0172626765	0.007615773106	0.001301879323
-13.279	0.003	-10.176	0.015	-11.587	0.006	2459522.592	3.103	1.692	-1.411	59522.59244	0.01615549442	0.01529705854	0.006708203932	0.00188356954
-13.25	0.003	-10.125	0.016	-11.594	0.006	2459522.593	3.125	1.656	-1.469	59522.59262	0.01708800749	0.0162788206	0.006708203932	0.002465975553
-13.269	0.003	-10.132	0.016	-11.589	0.006	2459522.593	3.137	1.68	-1.457	59522.59281	0.01708800749	0.0162788206	0.006708203932	0.003053869827
-13.257	0.003	-10.135	0.016	-11.583	0.006	2459522.593	3.122	1.674	-1.448	59522.593	0.01708800749	0.0162788206	0.006708203932	0.003658632514
-13.184	0.003	-10.069	0.017	-11.521	0.007	2459522.593	3.115	1.663	-1.452	59522.5932	0.01838477631	0.0172626765	0.007615773106	0.004277519485
-13.275	0.003	-10.161	0.015	-11.596	0.006	2459522.593	3.114	1.679	-1.435	59522.59341	0.01615549442	0.01529705854	0.006708203932	0.004918731188
-13.151	0.003	-10.051	0.017	-11.495	0.007	2459522.594	3.1	1.656	-1.444	59522.5936	0.01838477631	0.0172626765	0.007615773106	0.005521374071
-13.223	0.003	-10.124	0.016	-11.582	0.006	2459522.594	3.099	1.641	-1.458	59522.59379	0.01708800749	0.0162788206	0.006708203932	0.006105619668
-13.158	0.003	-10.069	0.017	-11.484	0.007	2459522.594	3.089	1.674	-1.415	59522.59399	0.01838477631	0.0172626765	0.007615773106	0.006716868085
-13.263	0.003	-10.137	0.016	-11.605	0.006	2459522.594	3.126	1.658	-1.468	59522.59417	0.01708800749	0.0162788206	0.006708203932	0.007300397885
-13.188	0.003	-10.095	0.017	-11.532	0.007	2459522.594	3.093	1.656	-1.437	59522.59436	0.01838477631	0.0172626765	0.007615773106	0.007882118592
-13.252	0.003	-10.144	0.016	-11.603	0.006	2459522.595	3.108	1.649	-1.459	59522.59455	0.01708800749	0.0162788206	0.006708203932	0.008463432761
-13.266	0.003	-10.157	0.016	-11.595	0.006	2459522.595	3.109	1.671	-1.438	59522.59478	0.01708800749	0.0162788206	0.006708203932	0.009184777414
-13.238	0.003	-10.122	0.016	-11.581	0.006	2459522.595	3.116	1.657	-1.459	59522.59496	0.01708800749	0.0162788206	0.006708203932	0.009768680358
-13.211	0.003	-10.131	0.016	-11.548	0.006	2459522.595	3.08	1.663	-1.417	59522.59515	0.01708800749	0.0162788206	0.006708203932	0.01035108782
-13.261	0.003	-10.13	0.016	-11.6	0.006	2459522.595	3.131	1.661	-1.47	59522.59534	0.01708800749	0.0162788206	0.006708203932	0.01093315118
-13.248	0.003	-10.166	0.015	-11.601	0.006	2459522.596	3.082	1.647	-1.435	59522.59553	0.01615549442	0.01529705854	0.006708203932	0.01153323724
-13.245	0.003	-10.165	0.016	-11.592	0.006	2459522.596	3.08	1.653	-1.427	59522.59572	0.01708800749	0.0162788206	0.006708203932	0.01211748283
-13.24	0.003	-10.151	0.015	-11.594	0.006	2459522.596	3.089	1.646	-1.443	59522.59591	0.01615549442	0.01529705854	0.006708203932	0.01270893141
-13.145	0.003	-10.057	0.017	-11.5	0.007	2459522.596	3.088	1.645	-1.443	59522.5961	0.01838477631	0.0172626765	0.007615773106	0.01329567286
-13.223	0.003	-10.128	0.016	-11.555	0.006	2459522.596	3.095	1.668	-1.427	59522.59628	0.01708800749	0.0162788206	0.006708203932	0.01387807887
-13.204	0.003	-10.156	0.016	-11.554	0.006	2459522.596	3.048	1.65	-1.398	59522.59647	0.01708800749	0.0162788206	0.006708203932	0.01446269906
-13.221	0.003	-10.147	0.016	-11.574	0.006	2459522.597	3.074	1.647	-1.427	59522.59667	0.01708800749	0.0162788206	0.006708203932	0.01507759616
-13.172	0.003	-10.121	0.016	-11.538	0.007	2459522.597	3.051	1.634	-1.417	59522.59685	0.0174642492	0.0162788206	0.007615773106	0.01566324431
